iter	MultiClass
0	1.536898345
1	1.479039867
2	1.429055693
3	1.381045451
4	1.340352541
5	1.301800162
6	1.264694127
7	1.232537835
8	1.203137883
9	1.175975937
10	1.149469517
11	1.12726008
12	1.104524692
13	1.084405171
14	1.066540284
15	1.048553735
16	1.03199951
17	1.016003513
18	0.9989477049
19	0.9846835006
20	0.9713537048
21	0.9578684132
22	0.9442477975
23	0.9325703855
24	0.9219712348
25	0.9101490599
26	0.8992711963
27	0.8902552524
28	0.8810650145
29	0.8723202299
30	0.8632417661
31	0.8559154223
32	0.847657326
33	0.8406671427
34	0.8327400732
35	0.8249801922
36	0.8191681933
37	0.8130485971
38	0.8076657227
39	0.8014377708
40	0.7950411348
41	0.7899022744
42	0.7839711561
43	0.7786343782
44	0.7725770232
45	0.7676606678
46	0.762034355
47	0.7564552419
48	0.7522914014
49	0.7481981321
50	0.7438050876
51	0.7390703203
52	0.734595707
53	0.7302986139
54	0.7252273797
55	0.7212558491
56	0.7174549061
57	0.7134864924
58	0.710077496
59	0.7062320934
60	0.7021419084
61	0.6990827178
62	0.6952841811
63	0.6923838544
64	0.688648722
65	0.6848459017
66	0.681780537
67	0.679095288
68	0.6758615171
69	0.6729058719
70	0.6702014751
71	0.6665924497
72	0.6629103983
73	0.6598845819
74	0.6561290035
75	0.6538109297
76	0.6502678325
77	0.6477882889
78	0.6450453402
79	0.6429965559
80	0.6403129162
81	0.6379126899
82	0.6350237397
83	0.6323280045
84	0.6300026521
85	0.6271024745
86	0.6234554615
87	0.6211137226
88	0.6193616576
89	0.6167629912
90	0.6148245236
91	0.6128494294
92	0.6105412795
93	0.6078548274
94	0.6062343783
95	0.6042261514
96	0.6022481482
97	0.5998645087
98	0.5965891832
99	0.5950150461
100	0.5925099599
101	0.5901405425
102	0.5884059256
103	0.5863563941
104	0.58413839
105	0.5824126665
106	0.5807345198
107	0.5787046654
108	0.5758534293
109	0.5737683694
110	0.5716405832
111	0.5690063359
112	0.5663615831
113	0.5642669816
114	0.5622126354
115	0.5605111996
116	0.5584980891
117	0.5571034776
118	0.5555622957
119	0.5539285708
120	0.5523138437
121	0.5498924699
122	0.5480421859
123	0.5463165472
124	0.5447913847
125	0.5430739365
126	0.5412986799
127	0.5398012009
128	0.5379515554
129	0.5362030594
130	0.5342971795
131	0.5326661726
132	0.5313203861
133	0.5297524281
134	0.5285318439
135	0.5268428634
136	0.5256267587
137	0.5236167737
138	0.5220075136
139	0.5197766697
140	0.5186861093
141	0.5165087241
142	0.5151405036
143	0.5136838971
144	0.5125100863
145	0.511491911
146	0.5096986353
147	0.5082658252
148	0.5063946194
149	0.5046656006
150	0.503000281
151	0.5013408722
152	0.5003192045
153	0.498863668
154	0.4976945292
155	0.4961138198
156	0.4946473124
157	0.4934834074
158	0.4920411214
159	0.4911489519
160	0.4900585979
161	0.488521491
162	0.4862721051
163	0.4854202146
164	0.4841908735
165	0.4826187344
166	0.4806965966
167	0.4790567844
168	0.4770534556
169	0.4754528281
170	0.4738585218
171	0.4722401564
172	0.4708112733
173	0.4699927849
174	0.468752628
175	0.4677801908
176	0.4664277371
177	0.4654814295
178	0.4643924844
179	0.4626196777
180	0.4617163784
181	0.4603693803
182	0.4594448373
183	0.4583905839
184	0.4561111496
185	0.4547729596
186	0.4535520582
187	0.4520132423
188	0.4507872802
189	0.4492334104
190	0.4482169568
191	0.44734781
192	0.4463285314
193	0.4444146035
194	0.4433599857
195	0.4426952829
196	0.4410830913
197	0.4396576114
198	0.4383982423
199	0.4374111762
200	0.4366078034
201	0.435637701
202	0.4344177299
203	0.4330863785
204	0.4320531056
205	0.430515299
206	0.4297153531
207	0.4288235566
208	0.4271111291
209	0.4258253328
210	0.425026845
211	0.4238941271
212	0.4225316149
213	0.4215654618
214	0.4205072118
215	0.4189648534
216	0.4170922626
217	0.4164375907
218	0.4156198292
219	0.414725532
220	0.4135049629
221	0.4123655098
222	0.4112293154
223	0.4104688539
224	0.4097737694
225	0.4089910438
226	0.407369522
227	0.40638747
228	0.4056113021
229	0.4047413463
230	0.4038770267
231	0.4026834195
232	0.4013774826
233	0.4001907103
234	0.3987559662
235	0.398135748
236	0.3970234005
237	0.3959234937
238	0.3952095191
239	0.3937840354
240	0.3930765476
241	0.3921626472
242	0.3912097201
243	0.3900296291
244	0.3888475551
245	0.3883961581
246	0.3875136494
247	0.3867390556
248	0.385648415
249	0.3844081828
250	0.3835618387
251	0.3824182111
252	0.3808778906
253	0.3801684891
254	0.3792631209
255	0.3777857348
256	0.3766490778
257	0.3758052118
258	0.374565972
259	0.3737869975
260	0.3730850852
261	0.3722731555
262	0.3715123692
263	0.3703212032
264	0.3694642323
265	0.3682131704
266	0.3672351166
267	0.3665763338
268	0.3658585821
269	0.3653523749
270	0.364263512
271	0.363377698
272	0.3619456778
273	0.361024439
274	0.3602392831
275	0.3589266879
