iter	Passed	Remaining
0	106	53033
1	123	30736
2	138	22901
3	152	18923
4	169	16778
5	184	15230
6	199	14065
7	215	13227
8	228	12477
9	242	11880
10	256	11411
11	270	11003
12	287	10759
13	300	10445
14	314	10174
15	328	9943
16	343	9756
17	364	9769
18	384	9724
19	404	9703
20	424	9688
21	444	9662
22	466	9670
23	494	9802
24	522	9929
25	547	9975
26	569	9972
27	589	9939
28	610	9922
29	629	9860
30	648	9806
31	663	9710
32	680	9631
33	697	9565
34	714	9494
35	731	9424
36	746	9338
37	760	9246
38	774	9158
39	789	9081
40	804	9007
41	819	8931
42	838	8907
43	861	8925
44	881	8909
45	899	8875
46	916	8832
47	934	8795
48	951	8757
49	972	8755
50	991	8732
51	1016	8759
52	1040	8778
53	1059	8748
54	1079	8732
55	1096	8692
56	1111	8641
57	1128	8600
58	1145	8560
59	1162	8524
60	1178	8482
61	1195	8442
62	1211	8400
63	1231	8387
64	1246	8344
65	1261	8298
66	1278	8264
67	1293	8220
68	1309	8180
69	1325	8145
70	1343	8115
71	1360	8087
72	1376	8051
73	1393	8023
74	1409	7989
75	1426	7955
76	1442	7924
77	1459	7896
78	1476	7868
79	1492	7833
80	1507	7798
81	1523	7766
82	1540	7739
83	1557	7714
84	1575	7689
85	1593	7671
86	1611	7648
87	1627	7619
88	1644	7595
89	1661	7569
90	1678	7541
91	1694	7513
92	1709	7481
93	1724	7447
94	1738	7413
95	1752	7376
96	1767	7342
97	1781	7308
98	1796	7276
99	1810	7242
100	1826	7213
101	1842	7187
102	1857	7158
103	1873	7134
104	1890	7110
105	1906	7086
106	1923	7063
107	1938	7035
108	1955	7014
109	1969	6983
110	1985	6959
111	2000	6928
112	2014	6899
113	2029	6871
114	2044	6843
115	2058	6813
116	2072	6783
117	2086	6755
118	2100	6725
119	2115	6698
120	2130	6672
121	2144	6643
122	2158	6614
123	2172	6586
124	2185	6557
125	2203	6539
126	2219	6519
127	2236	6499
128	2252	6476
129	2270	6463
130	2285	6438
131	2300	6413
132	2314	6386
133	2328	6361
134	2343	6334
135	2357	6309
136	2372	6285
137	2387	6263
138	2402	6240
139	2416	6214
140	2430	6188
141	2445	6165
142	2462	6146
143	2476	6122
144	2490	6098
145	2505	6074
146	2520	6052
147	2536	6033
148	2553	6015
149	2569	5996
150	2585	5975
151	2599	5951
152	2613	5926
153	2632	5915
154	2649	5897
155	2663	5873
156	2677	5849
157	2691	5825
158	2705	5803
159	2720	5780
160	2733	5756
161	2748	5734
162	2762	5711
163	2778	5692
164	2794	5673
165	2809	5653
166	2823	5630
167	2837	5608
168	2851	5585
169	2865	5562
170	2879	5539
171	2892	5516
172	2906	5493
173	2920	5472
174	2935	5451
175	2949	5430
176	2964	5409
177	2978	5388
178	2992	5367
179	3006	5344
180	3019	5321
181	3033	5300
182	3047	5279
183	3061	5258
184	3076	5237
185	3090	5217
186	3104	5196
187	3118	5176
188	3133	5156
189	3148	5137
190	3163	5117
191	3181	5104
192	3205	5098
193	3236	5105
194	3255	5091
195	3275	5079
196	3293	5064
197	3311	5050
198	3326	5031
199	3342	5013
200	3357	4994
201	3373	4977
202	3389	4959
203	3406	4942
204	3423	4926
205	3443	4914
206	3460	4898
207	3477	4882
208	3494	4865
209	3509	4846
210	3525	4828
211	3540	4809
212	3555	4790
213	3570	4771
214	3585	4752
215	3601	4735
216	3618	4719
